Nomor laporan,Kategori,Lat,Lng,Kelurahan,Kecamatan,Kota,Provinsi,Day
1092763,Kaki Lima Liar,-6.171435,106.809204,Cideng,Gambir,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday
1093028,Kaki Lima Liar,-6.190612,106.81517,Kebon Kacang,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1094447,Kaki Lima Liar,-6.188611,106.811943,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday
1094662,Kaki Lima Liar,-6.153421,106.857674,Kebon Kosong,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Sunday
1095357,Kaki Lima Liar,-6.204837,106.799583,Gelora,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday
1096165,Kaki Lima Liar,-6.204009,106.797241,Gelora,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Thursday
1096492,Kaki Lima Liar,-6.219137,106.798386,Gelora,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday
1096853,Kaki Lima Liar,-6.160174,106.819412,Kebon Kelapa,Gambir,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday
1098199,Kaki Lima Liar,-6.167998,106.808189,Cideng,Gambir,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Thursday
1098976,Kaki Lima Liar,-6.162235,106.83075,Pasar Baru,Sawah Besar,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday
1098978,Kaki Lima Liar,-6.16218,106.829468,Pasar Baru,Sawah Besar,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday
1100286,Kaki Lima Liar,-6.169394,106.808372,Cideng,Gambir,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1100289,Kaki Lima Liar,-6.168252,106.808289,Cideng,Gambir,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1100308,Kaki Lima Liar,-6.169589,106.808273,Cideng,Gambir,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1100755,Kaki Lima Liar,-6.186993,106.870262,Rawasari,Cempaka Putih,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday
1101550,Kaki Lima Liar,-6.199488,106.845284,Pegangsaan,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday
1101563,Kaki Lima Liar,-6.196269,106.858383,Rawasari,Cempaka Putih,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday
1103115,Kaki Lima Liar,-6.169627,106.832764,Pasar Baru,Sawah Besar,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday
1103457,Kaki Lima Liar,-6.159167,106.832497,Pasar Baru,Sawah Besar,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Thursday
